S.NO,Name,Nationality,Current Rank,,Sport,Year,earnings ($ million)
53,Deion Sanders,USA,3,,American Football,1995,22.5
134,Peyton Manning,USA,3,,American Football,2004,42
145,Michael Vick,USA,4,,American Football,2005,37.5
161,Tom Brady,USA,10,,American Football,2006,29
200,Eli Manning,USA,9,,American Football,2010,39.9
201,Terrell Suggs,USA,10,,American Football,2010,38.3
221,Peyton Manning,USA,10,,American Football,2012,42.4
226,Drew Brees,USA,5,,American Football,2013,51
227,Aaron Rodgers,USA,6,,American Football,2013,49
241,Matt Ryan,USA,10,,American Football,2014,43.8
258,Cam Newton,USA,7,,American Football,2016,53.1
267,Andrew Luck,USA,6,,American Football,2017,51
280,Matt Ryan,USA,9,,American Football,2018,67.3
281,Matthew Stafford,USA,10,,American Football,2018,59.5
287,Russell Wilson,USA,6,,American Football,2019,89.5
288,Aaron Rogers,USA,7,,American Football,2019,89.3
300,Kirk Cousins,USA,9,,American Football,2020,60.5
301,Carson Wentz,USA,10,,American Football,2020,59.1
38,Cecil Fielder,USA,8,,Baseball,1993,12.7
90,Gary Sheffield,USA,10,,Baseball,1998,17.2
128,Alex Rodriguez,USA,7,,Baseball,2003,26
140,Alex Rodriguez,USA,9,,Baseball,2004,26.2
160,Alex Rodriguez,USA,9,,Baseball,2006,29.1
209,Alex Rodriguez,Dominican,8,,Baseball,2011,35
8,Michael Jordan,USA,8,,Basketball,1990,8.2
13,Michael Jordan,USA,3,,Basketball,1991,16
21,Michael Jordan,USA,1,,Basketball,1992,35.9
31,Michael Jordan,USA,1,,Basketball,1993,36
41,Michael Jordan,USA,1,,Basketball,1994,30
42,Shaq O'Neal,USA,2,,Basketball,1994,16.7
51,Michael Jordan,USA,1,,Basketball,1995,43.9
55,Shaquille O'Neal,USA,5,,Basketball,1995,21.9
62,Michael Jordan,USA,2,,Basketball,1996,52.6
64,Shaquille O'Neal,USA,4,,Basketball,1996,24.4
69,Dennis Rodman,USA,9,,Basketball,1996,12.9
70,Patrick Ewing,USA,10,,Basketball,1996,12.8
71,Michael Jordan,USA,1,,Basketball,1997,78.3
77,Shaquille O'Neal,USA,7,,Basketball,1997,25.4
80,Grant Hill,USA,10,,Basketball,1997,17
81,Michael Jordan,USA,1,,Basketball,1998,69
86,Grant Hill,USA,6,,Basketball,1998,21.6
88,Patrick Ewing,USA,8,,Basketball,1998,18.3
94,Michael Jordan,USA,4,,Basketball,1999,40
97,Shaq O'Neal,USA,7,,Basketball,1999,31
100,Grant Hill,USA,10,,Basketball,1999,23
104,Michael Jordan,USA,4,,Basketball,2000,37
105,Grant Hill,USA,5,,Basketball,2000,26
107,Shaq O'Neal,USA,7,,Basketball,2000,24
110,Kevin Garnett,USA,10,,Basketball,2000,21
113,Michael Jordan,USA,3,,Basketball,2002,36
115,Grant Hill,USA,5,,Basketball,2002,24
116,Shaquille O'Neal,USA,6,,Basketball,2002,23.5
118,Kevin Garnett,USA,8,,Basketball,2002,22.5
119,Kobe Bryant,USA,9,,Basketball,2002,22
124,Michael Jordan,USA,3,,Basketball,2003,35
125,Shaq O'Neal,USA,4,,Basketball,2003,30.5
127,Kevin Garnett,USA,6,,Basketball,2003,28
129,Grant Hill,USA,8,,Basketball,2003,25.5
135,Michael Jordan,USA,4,,Basketball,2004,35
136,Shaquille O'Neal,USA,5,,Basketball,2004,31.9
137,Kevin Garnett,USA,6,,Basketball,2004,29.7
141,Kobe Bryant,USA,10,,Basketball,2004,26.1
146,Shaquille O'Neal,USA,5,,Basketball,2005,33.4
147,Michael Jordan,USA,6,,Basketball,2005,33
149,Kobe Bryant,USA,8,,Basketball,2005,28.8
156,Michael Jordan,USA,5,,Basketball,2006,32
157,Kobe Bryant,USA,6,,Basketball,2006,31
158,Shaquille O'Neal,USA,7,,Basketball,2006,30
168,Kobe Bryant,USA,7,,Basketball,2007,33
169,Shaquille O'Neal,USA,8,,Basketball,2007,32
171,Michael Jordan,USA,10,,Basketball,2007,31
174,Michael Jordan,USA,3,,Basketball,2008,46
177,Kobe Bryant,USA,6,,Basketball,2008,39
178,LeBron James,USA,7,,Basketball,2008,38
183,Kobe Bryant,USA,2,,Basketball,2009,45.5
184,Michael Jordan,USA,3,,Basketball,2009,45.3
187,LeBron James,USA,6,,Basketball,2009,41
194,Kobe Bryant,USA,3,,Basketball,2010,48
198,LeBron James,USA,7,,Basketball,2010,42.8
203,Kobe Bryant,USA,2,,Basketball,2011,53
204,LeBron James,USA,3,,Basketball,2011,48
215,LeBron James,USA,4,,Basketball,2012,53
217,Kobe Bryant,USA,6,,Basketball,2012,52.3
224,Kobe Bryant,USA,3,,Basketball,2013,61.9
225,LeBron James,USA,4,,Basketball,2013,59.8
234,LeBron James,USA,3,,Basketball,2014,72.3
236,Kobe Bryant,USA,5,,Basketball,2014,61.5
247,LeBron James,USA,6,,Basketball,2015,64.8
248,Kevin Durant,USA,7,,Basketball,2015,54.2
251,Kobe Bryant,USA,10,,Basketball,2015,49.5
254,LeBron James,USA,3,,Basketball,2016,77.2
256,Kevin Durant,USA,5,,Basketball,2016,56.2
261,Kobe Bryant,USA,10,,Basketball,2016,50
263,LeBron James,USA,2,,Basketball,2017,86.2
266,Kevin Durant,USA,5,,Basketball,2017,60.6
269,Stephen Curry,USA,8,,Basketball,2017,47.3
270,James Harden,USA,9,,Basketball,2017,46.6
277,LeBron James,USA,6,,Basketball,2018,85.5
279,Stephen Curry,USA,8,,Basketball,2018,76.9
289,LeBron James,USA,8,,Basketball,2019,89
290,Stephen Curry,USA,9,,Basketball,2019,79.8
291,Kevin Durant,USA,10,,Basketball,2019,65.4
296,LeBron James,USA,5,,Basketball,2020,88.2
297,Stephen Curry,USA,6,,Basketball,2020,74.4
298,Kevin Durant,USA,7,,Basketball,2020,63.9
36,Shaquille O'Neal,USA,6,,Basketball,1993,15.2
1,Mike Tyson,USA,1,,Boxing,1990,28.6
2,Buster Douglas,USA,2,,Boxing,1990,26
3,Sugar Ray Leonard,USA,3,,Boxing,1990,13
10,Evander Holyfield,USA,10,,Boxing,1990,8.0
11,Evander Holyfield,USA,1,,Boxing,1991,60.5
12,Mike Tyson,USA,2,,Boxing,1991,31.5
14,George Foreman,USA,4,,Boxing,1991,14.5
17,"Donovan ""Razor"" Ruddock",Canada,7,,Boxing,1991,10.2
22,Evander Holyfield,USA,2,,Boxing,1992,28
32,Riddick Bowe,USA,2,,Boxing,1993,25
35,George Foreman,USA,5,,Boxing,1993,15.8
37,Lennox Lewis,USA,7,,Boxing,1993,15
47,Michael Moorer,USA,7,,Boxing,1994,12.1
48,Evander Holyfield,USA,8,,Boxing,1994,12
52,Mike Tyson,USA,2,,Boxing,1995,40
54,Riddick Bowe,USA,4,,Boxing,1995,22.2
56,George Foreman,USA,6,,Boxing,1995,18
61,Mike Tyson,USA,1,,Boxing,1996,75
66,Evander Holyfield,USA,6,,Boxing,1996,15.5
72,Evander Holyfield,USA,2,,Boxing,1997,54.3
73,Oscar De La Hoya,USA,3,,Boxing,1997,38
75,Mike Tyson,USA,5,,Boxing,1997,27
87,Oscar De La Hoya,USA,7,,Boxing,1998,18.5
93,Oscar De La Hoya,USA,3,,Boxing,1999,43.5
95,Evander Holyfield,USA,5,,Boxing,1999,35.5
96,Mike Tyson,USA,6,,Boxing,1999,33
98,Lennox Lewis,USA,8,,Boxing,1999,29
103,Mike Tyson,USA,3,,Boxing,2000,48
108,Lennox Lewis,USA,8,,Boxing,2000,23
109,Oscar De La Hoya,USA,9,,Boxing,2000,23
114,Lennox Lewis,USA,4,,Boxing,2002,28
117,Mike Tyson,USA,7,,Boxing,2002,23
126,Oscar De La Hoya,USA,5,,Boxing,2003,30
144,Oscar De La Hoya,USA,3,,Boxing,2005,38
154,Muhammad Ali,USA,3,,Boxing,2006,55
163,Oscar De La Hoya,USA,2,,Boxing,2007,43
189,Manny Pacquiao,Philippines,8,,Boxing,2009,40
193,Floyd Mayweather,USA,2,,Boxing,2010,65
199,Manny Pacquiao,Philippines,8,,Boxing,2010,42
212,Floyd Mayweather,USA,1,,Boxing,2012,85
213,Manny Pacquiao,Filipino,2,,Boxing,2012,62
232,Floyd Mayweather,USA,1,,Boxing,2014,105
242,Floyd Mayweather,USA,1,,Boxing,2015,300
243,Manny Pacquiao,Philippines,2,,Boxing,2015,160
272,Floyd Mayweather,USA,1,,Boxing,2018,285
285,Canelo Alvarez,Mexico,4,,Boxing,2019,94
150,Lance Armstrong,USA,9,,Cycling,2005,28.1
139,David Beckham,UK,8,,Football,2004,28
148,David Beckham,UK,7,,Football,2005,32.5
167,David Beckham,UK,6,,Football,2007,33.3
170,Ronaldinho,Brazil,9,,Football,2007,31.1
173,David Beckham,UK,2,,Football,2008,50
179,Ronaldinho,Brazil,8,,Football,2008,37
186,David Beckham,UK,5,,Football,2009,42
196,David Beckham,UK,5,,Football,2010,43.7
207,David Beckham,UK,6,,Football,2011,40
208,Cristiano Ronaldo,Portugal,7,,Football,2011,38
211,Lionel Messi,Argentina,10,,Football,2011,32.3
219,David Beckham,UK,8,,Football,2012,46
220,Cristiano Ronaldo,Portugal,9,,Football,2012,42.5
229,David Beckham,UK,8,,Football,2013,47.2
230,Cristiano Ronaldo,Portugal,9,,Football,2013,44
231,Lionel Messi,Argentina,10,,Football,2013,41.3
233,Cristiano Ronaldo,Portugal,2,,Football,2014,80
235,Lionel Messi,Argentina,4,,Football,2014,64.7
244,Cristiano Ronaldo,Portugal,3,,Football,2015,79.6
245,Lionel Messi,Argentina,4,,Football,2015,73.8
252,Cristiano Ronaldo,Portugal,1,,Football,2016,88
253,Lionel Messi,Argentina,2,,Football,2016,81.4
262,Cristiano Ronaldo,Portugal,1,,Football,2017,93
264,Lionel Messi,Argentina,3,,Football,2017,80
273,Lionel Messi,Argentina,2,,Football,2018,111
274,Cristiano Ronaldo,Portugal,3,,Football,2018,108
276,Neymar,Brazil,5,,Football,2018,90
282,Lionel Messi,Argentina,1,,Football,2019,127
283,Cristiano Ronaldo,Portugal,2,,Football,2019,109
284,Neymar,Brazil,3,,Football,2019,105
293,Cristiano Ronaldo,Portugal,2,,Football,2020,105
294,Lionel Messi,Argentina,3,,Football,2020,104
295,Neymar,Brazil,4,,Football,2020,95.5
6,Jack Nicklaus,USA,6,,Golf,1990,8.6
7,Greg Norman,Australia,7,,Golf,1990,8.5
9,Arnold Palmer,USA,9,,Golf,1990,8.1
18,Arnold Palmer,USA,8,,Golf,1991,9.3
20,Sugar Ray Leonard,USA,10,,Golf,1991,8.5
25,Arnold Palmer,USA,5,,Golf,1992,11.1
28,Sugar Ray Leonard,USA,8,,Golf,1992,9.2
43,Jack Nicklaus,USA,3,,Golf,1994,14.8
44,Arnold Palmer,USA,4,,Golf,1994,13.6
58,Sugar Ray Leonard,USA,8,,Golf,1995,15.1
68,Arnold Palmer,USA,8,,Golf,1996,15.1
76,Tiger Woods,USA,6,,Golf,1997,26.1
84,Tiger Woods,USA,4,,Golf,1998,26.8
89,Arnold Palmer,USA,9,,Golf,1998,18.1
92,Tiger Woods,USA,2,,Golf,1999,47
102,Tiger Woods,USA,2,,Golf,2000,53
111,Tiger Woods,USA,1,,Golf,2002,69
122,Tiger Woods,USA,1,,Golf,2003,78
132,Tiger Woods,USA,1,,Golf,2004,80.3
142,Tiger Woods,USA,1,,Golf,2005,87
152,Tiger Woods,USA,1,,Golf,2006,90
155,Phil Mickelson,USA,4,,Golf,2006,47
162,Tiger Woods,USA,1,,Golf,2007,100
164,Phil Mickelson,USA,3,,Golf,2007,42
172,Tiger Woods,USA,1,,Golf,2008,115
175,Phil Mickelson,USA,4,,Golf,2008,45
182,Tiger Woods,USA,1,,Golf,2009,110
188,Phil Mickelson,USA,7,,Golf,2009,40.5
192,Tiger Woods,USA,1,,Golf,2010,105
195,Phil Mickelson,USA,4,,Golf,2010,46
202,Tiger Woods,USA,1,,Golf,2011,75
206,Phil Mickelson,USA,5,,Golf,2011,46.5
214,Tiger Woods,USA,3,,Golf,2012,59.4
218,Phil Mickelson,USA,7,,Golf,2012,47.8
222,Tiger Woods,USA,1,,Golf,2013,78.1
228,Phil Mickelson,USA,7,,Golf,2013,48.7
237,Tiger Woods,USA,6,,Golf,2014,61.2
239,Phil Mickelson,USA,8,,Golf,2014,53.2
249,Phil Mickelson,USA,8,,Golf,2015,50.8
250,Tiger Woods,USA,9,,Golf,2015,50.6
259,Phil Mickelson,USA,8,,Golf,2016,52.9
260,Jordan Spieth,USA,9,,Golf,2016,52.8
268,Rory McIlroy,Northern Ireland,7,,Golf,2017,50
299,Tiger Woods,USA,8,,Golf,2020,62.3
79,Joe Sakic,Canada,9,,Ice Hockey,1997,17.9
46,Wayne Gretzky,Canada,6,,Ice Hockey,1994,13.4
60,Wayne Gretzky,Canada,10,,Ice hockey,1995,14.5
83,Sergei Federov,Russia,3,,Ice Hockey,1998,29.8
275,Conor McGregor,Ireland,4,,MMA,2018,99
4,Ayrton Senna,Brazil,4,,Motorsports,1990,10
5,Alain Prost,France,5,,Motorsports,1990,9
15,Ayrton Senna,Brazil,5,,Motorsports,1991,13
16,Alain Prost,France,6,,Motorsports,1991,11
19,Nigel Mansell,UK,9,,Motorsports,1991,9
23,Ayrton Senna,Brazil,3,,Motorsports,1992,22
24,Nigel Mansell,UK,4,,Motorsports,1992,14.5
33,Ayrton Senna,Brazil,3,,Motorsports,1993,18.5
34,Alain Prost,France,4,,Motorsports,1993,16
45,Gerhard Berger,Austria,5,,Motorsports,1994,13.5
50,Nigel Mansell,UK,10,,Motorsports,1994,11.3
59,Michael Schumacher,Germany,9,,Motorsports,1995,15
63,Michael Schumacher,Germany,3,,Motorsports,1996,33
74,Michael Schumacher,Germany,4,,Motorsports,1997,35
78,Dale Earnhardt,USA,8,,Motorsports,1997,19.1
82,Michael Schumacher,Germany,2,,Motorsports,1998,38
85,Dale Earnhardt,USA,5,,Motorsports,1998,24.1
91,Michael Schumacher,Germany,1,,Motorsports,1999,49
99,Dale Earnhardt,USA,9,,Motorsports,1999,26.5
101,Michael Schumacher,Germany,1,,Motorsports,2000,59
106,Dale Earnhardt,USA,6,,Motorsports,2000,24.5
112,Michael Schumacher,Germany,2,,Motorsports,2002,67
120,Jacques Villeneuve,Canada,10,,Motorsports,2002,20
123,Michael Schumacher,Germany,2,,Motorsports,2003,75
131,Jacques Villeneuve,Canada,10,,Motorsports,2003,23
133,Michael Schumacher,Germany,2,,Motorsports,2004,80
143,Michael Schumacher,Germany,2,,Motorsports,2005,60
151,Valentino Rossi,Italy,10,,Motorsports,2005,28
153,Michael Schumacher,Germany,2,,Motorsports,2006,58
159,Valentino Rossi,Italy,8,,Motorsports,2006,30
165,Kimi Raikkonen,Finland,4,,Motorsports,2007,40
166,Michael Schumacher,Germany,5,,Motorsports,2007,36
176,Kimi Raikkonen,Finland,5,,Motorsports,2008,44
180,Valentino Rossi,Italy,9,,Motorsports,2008,35
185,Kimi Raikkonen,Finland,4,,Motorsports,2009,45
190,Valentino Rossi,Italy,9,,Motorsports,2009,35
191,Dale Earnhardt Jr.,USA,10,,Motorsports,2009,34
210,Michael Schumacher,Germany,9,,Motorsports,2011,34
271,Lewis Hamilton,UK,10,,Motorsports,2017,46
27,Joe Montana,USA,7,,American Football,1992,9.5
40,Joe Montana,USA,10,,American Football,1993,11.5
65,Emmit Smith,USA,5,,American Football,1996,16.5
26,Andre Agassi,USA,6,,Tennis,1992,11
29,Jim Courier,USA,9,,Tennis,1992,9
30,Monica Seles,USA,10,,Tennis,1992,8.5
39,Jim Courier,USA,9,,Tennis,1993,12.6
49,Andre Agassi,USA,9,,Tennis,1994,11.4
57,Andre Agassi,USA,7,,Tennis,1995,16
67,Andre Agassi,USA,7,,Tennis,1996,15.2
130,Andre Agassi,USA,9,,Tennis,2003,24
138,Andre Agassi,USA,7,,Tennis,2004,28.2
181,Roger Federer,Switzerland,10,,Tennis,2008,34
197,Roger Federer,Switzerland,6,,Tennis,2010,43
205,Roger Federer,Switzerland,4,,Tennis,2011,47
216,Roger Federer,Switzerland,5,,Tennis,2012,52.7
223,Roger Federer,Switzerland,2,,Tennis,2013,71.5
238,Roger Federer,Switzerland,7,,Tennis,2014,56.2
240,Rafael Nadal,Spain,9,,Tennis,2014,44.5
246,Roger Federer,Switzerland,5,,Tennis,2015,67
255,Roger Federer,Switzerland,4,,Tennis,2016,67.8
257,Novak Djokovic,Serbia,6,,Tennis,2016,55.8
265,Roger Federer,Switzerland,4,,Tennis,2017,64
278,Roger Federer,Switzerland,7,,Tennis,2018,77.2
286,Roger Federer,Switzerland,5,,Tennis,2019,93.4
292,Roger Federer,Switzerland,1,,Tennis,2020,106.3